category,trial,item1,item2,item3,choice,rt
1,1,20,1,18,20.0,
1,1,20,1,21,20.0,
1,1,20,1,11,20.0,
1,1,20,1,4,20.0,
1,2,2,1,18,2.0,
1,2,2,1,7,2.0,
1,2,2,1,11,2.0,
1,2,2,1,4,2.0,
2,1,35,50,58,50.0,
2,1,35,50,60,35.0,
2,1,35,50,56,35.0,
2,1,35,50,44,35.0,
2,2,32,54,58,32.0,
2,2,32,54,38,54.0,
2,2,32,54,36,32.0,
2,2,32,54,47,47.0,
3,1,63,76,62,76.0,
3,1,63,76,81,76.0,
3,1,63,76,88,76.0,
3,1,63,76,66,63.0,
3,2,80,68,78,80.0,
3,2,80,68,81,80.0,
3,2,80,68,84,80.0,
3,2,80,68,70,80.0,
4,1,106,114,104,114.0,
4,1,106,114,93,114.0,
4,1,106,114,101,114.0,
4,1,106,114,110,114.0,
4,2,106,105,115,105.0,
4,2,106,105,98,105.0,
4,2,106,105,120,105.0,
4,2,106,105,103,105.0,
5,1,147,140,148,140.0,
5,1,147,140,127,140.0,
5,1,147,140,143,140.0,
5,1,147,140,135,140.0,
5,2,129,142,148,142.0,
5,2,129,142,141,142.0,
5,2,129,142,146,142.0,
5,2,129,142,144,129.0,
