category,trial,item1,item2,item3,choice,rt
1,1,3,1,18,3.0,
1,1,3,1,16,1.0,
1,1,3,1,11,11.0,
1,1,3,1,4,1.0,
1,2,3,9,18,3.0,
1,2,3,9,16,9.0,
1,2,3,9,12,9.0,
1,2,3,9,5,9.0,
2,1,32,35,59,32.0,
2,1,32,35,55,32.0,
2,1,32,35,53,32.0,
2,1,32,35,47,47.0,
2,2,32,33,37,32.0,
2,2,32,33,42,32.0,
2,2,32,33,43,32.0,
2,2,32,33,39,33.0,
3,1,80,68,78,80.0,
3,1,80,68,81,80.0,
3,1,80,68,88,80.0,
3,1,80,68,65,80.0,
3,2,68,64,62,64.0,
3,2,68,64,81,68.0,
3,2,68,64,84,68.0,
3,2,68,64,66,64.0,
4,1,105,114,104,114.0,
4,1,105,114,93,105.0,
4,1,105,114,95,105.0,
4,1,105,114,118,114.0,
4,2,119,113,115,113.0,
4,2,119,113,98,119.0,
4,2,119,113,120,119.0,
4,2,119,113,118,119.0,
5,1,142,145,150,142.0,
5,1,142,145,149,142.0,
5,1,142,145,137,142.0,
5,1,142,145,133,142.0,
5,2,128,142,150,142.0,
5,2,128,142,141,142.0,
5,2,128,142,125,128.0,
5,2,128,142,124,128.0,
