category,trial,item1,item2,item3,choice,rt
1,1,26,2,18,26.0,
1,1,26,2,16,2.0,
1,1,26,2,12,26.0,
1,1,26,2,29,2.0,
1,2,24,9,18,24.0,
1,2,24,9,7,9.0,
1,2,24,9,14,9.0,
1,2,24,9,29,24.0,
2,1,32,46,59,32.0,
2,1,32,46,38,46.0,
2,1,32,46,56,32.0,
2,1,32,46,39,32.0,
2,2,33,48,31,48.0,
2,2,33,48,49,33.0,
2,2,33,48,36,33.0,
2,2,33,48,47,48.0,
3,1,85,63,78,63.0,
3,1,85,63,81,63.0,
3,1,85,63,89,63.0,
3,1,85,63,70,63.0,
3,2,85,79,78,85.0,
3,2,85,79,90,79.0,
3,2,85,79,72,79.0,
3,2,85,79,86,85.0,
4,1,108,113,115,113.0,
4,1,108,113,93,113.0,
4,1,108,113,96,113.0,
4,1,108,113,110,113.0,
4,2,91,111,99,111.0,
4,2,91,111,92,91.0,
4,2,91,111,109,111.0,
4,2,91,111,116,91.0,
5,1,140,121,150,121.0,
5,1,140,121,122,121.0,
5,1,140,121,146,140.0,
5,1,140,121,133,133.0,
5,2,139,128,150,139.0,
5,2,139,128,122,128.0,
5,2,139,128,146,128.0,
5,2,139,128,133,133.0,
