category,trial,item1,item2,item3,choice,rt
1,1,24,22,18,24.0,
1,1,24,22,7,24.0,
1,1,24,22,6,24.0,
1,1,24,22,5,24.0,
1,2,26,3,18,26.0,
1,2,26,3,7,3.0,
1,2,26,3,10,26.0,
1,2,26,3,8,26.0,
2,1,52,40,34,52.0,
2,1,52,40,49,52.0,
2,1,52,40,51,52.0,
2,1,52,40,44,40.0,
2,2,35,54,34,54.0,
2,2,35,54,38,54.0,
2,2,35,54,43,35.0,
2,2,35,54,44,35.0,
3,1,64,80,62,64.0,
3,1,64,80,81,64.0,
3,1,64,80,89,64.0,
3,1,64,80,86,86.0,
3,2,64,74,62,64.0,
3,2,64,74,81,64.0,
3,2,64,74,69,64.0,
3,2,64,74,67,74.0,
4,1,108,105,97,108.0,
4,1,108,105,93,105.0,
4,1,108,105,107,105.0,
4,1,108,105,118,105.0,
4,2,106,94,99,106.0,
4,2,106,94,98,106.0,
4,2,106,94,101,94.0,
4,2,106,94,103,94.0,
5,1,142,129,148,129.0,
5,1,142,129,149,142.0,
5,1,142,129,125,142.0,
5,1,142,129,133,142.0,
5,2,145,147,150,145.0,
5,2,145,147,149,145.0,
5,2,145,147,125,145.0,
5,2,145,147,123,147.0,
