category,trial,item1,item2,item3,choice,rt
1,1,9,24,18,,
1,1,9,24,21,,
1,1,9,24,14,,
1,1,9,24,13,,
1,2,9,24,18,,
1,2,9,24,19,,
1,2,9,24,11,,
1,2,9,24,17,,
2,1,35,40,34,,
2,1,35,40,49,,
2,1,35,40,51,,
2,1,35,40,47,,
2,2,54,32,58,,
2,2,54,32,55,,
2,2,54,32,36,,
2,2,54,32,44,,
3,1,68,80,78,,
3,1,68,80,81,,
3,1,68,80,89,,
3,1,68,80,73,,
3,2,79,64,78,,
3,2,79,64,81,,
3,2,79,64,69,,
3,2,79,64,70,,
4,1,119,91,104,,
4,1,119,91,117,,
4,1,119,91,109,,
4,1,119,91,118,,
4,2,94,91,99,,
4,2,94,91,117,,
4,2,94,91,96,,
4,2,94,91,116,,
5,1,136,121,148,,
5,1,136,121,122,,
5,1,136,121,125,,
5,1,136,121,144,,
5,2,128,136,150,,
5,2,128,136,127,,
5,2,128,136,126,,
5,2,128,136,124,,
