category,trial,item1,item2,item3,choice,rt
1,1,26,1,18,,
1,1,26,1,7,,
1,1,26,1,10,,
1,1,26,1,29,,
1,2,9,23,18,,
1,2,9,23,30,,
1,2,9,23,10,,
1,2,9,23,13,,
2,1,48,54,59,,
2,1,48,54,57,,
2,1,48,54,56,,
2,1,48,54,39,,
2,2,48,50,31,,
2,2,48,50,38,,
2,2,48,50,43,,
2,2,48,50,39,,
3,1,63,82,78,,
3,1,63,82,90,,
3,1,63,82,84,,
3,1,63,82,75,,
3,2,82,64,62,,
3,2,82,64,90,,
3,2,82,64,88,,
3,2,82,64,66,,
4,1,113,111,115,,
4,1,113,111,98,,
4,1,113,111,95,,
4,1,113,111,103,,
4,2,114,106,104,,
4,2,114,106,98,,
4,2,114,106,120,,
4,2,114,106,116,,
5,1,130,145,150,,
5,1,130,145,149,,
5,1,130,145,126,,
5,1,130,145,144,,
5,2,130,121,148,,
5,2,130,121,149,,
5,2,130,121,126,,
5,2,130,121,135,,
