category,trial,item1,item2,item3,choice,rt
1,1,26,2,18,,
1,1,26,2,7,,
1,1,26,2,14,,
1,1,26,2,5,,
1,2,15,22,18,,
1,2,15,22,7,,
1,2,15,22,11,,
1,2,15,22,13,,
2,1,50,41,31,,
2,1,50,41,42,,
2,1,50,41,53,,
2,1,50,41,39,,
2,2,46,52,37,,
2,2,46,52,57,,
2,2,46,52,53,,
2,2,46,52,47,,
3,1,64,82,62,,
3,1,64,82,90,,
3,1,64,82,88,,
3,1,64,82,67,,
3,2,76,79,62,,
3,2,76,79,90,,
3,2,76,79,72,,
3,2,76,79,73,,
4,1,119,111,115,,
4,1,119,111,92,,
4,1,119,111,120,,
4,1,119,111,103,,
4,2,113,106,102,,
4,2,113,106,98,,
4,2,113,106,96,,
4,2,113,106,110,,
5,1,129,139,148,,
5,1,129,139,122,,
5,1,129,139,134,,
5,1,129,139,144,,
5,2,129,136,148,,
5,2,129,136,122,,
5,2,129,136,125,,
5,2,129,136,133,,
