category,trial,item1,item2,item3,choice,rt
1,1,15,26,18,,
1,1,15,26,7,,
1,1,15,26,10,,
1,1,15,26,5,,
1,2,9,20,18,,
1,2,9,20,21,,
1,2,9,20,11,,
1,2,9,20,17,,
2,1,41,54,58,,
2,1,41,54,38,,
2,1,41,54,43,,
2,1,41,54,47,,
2,2,32,35,37,,
2,2,32,35,57,,
2,2,32,35,36,,
2,2,32,35,39,,
3,1,82,76,78,,
3,1,82,76,81,,
3,1,82,76,87,,
3,1,82,76,65,,
3,2,77,64,62,,
3,2,77,64,90,,
3,2,77,64,84,,
3,2,77,64,86,,
4,1,106,119,99,,
4,1,106,119,117,,
4,1,106,119,107,,
4,1,106,119,100,,
4,2,91,94,99,,
4,2,91,94,92,,
4,2,91,94,96,,
4,2,91,94,118,,
5,1,139,130,150,,
5,1,139,130,149,,
5,1,139,130,137,,
5,1,139,130,144,,
5,2,121,136,150,,
5,2,121,136,149,,
5,2,121,136,137,,
5,2,121,136,123,,
