category,trial,item1,item2,item3,choice,rt
1,1,3,2,18,,
1,1,3,2,19,,
1,1,3,2,12,,
1,1,3,2,5,,
1,2,23,1,18,,
1,2,23,1,30,,
1,2,23,1,14,,
1,2,23,1,8,,
2,1,41,54,31,,
2,1,41,54,57,,
2,1,41,54,51,,
2,1,41,54,47,,
2,2,41,48,59,,
2,2,41,48,38,,
2,2,41,48,51,,
2,2,41,48,47,,
3,1,64,74,62,,
3,1,64,74,90,,
3,1,64,74,61,,
3,1,64,74,75,,
3,2,76,77,62,,
3,2,76,77,90,,
3,2,76,77,87,,
3,2,76,77,67,,
4,1,119,106,104,,
4,1,119,106,117,,
4,1,119,106,109,,
4,1,119,106,100,,
4,2,91,119,104,,
4,2,91,119,92,,
4,2,91,119,109,,
4,2,91,119,116,,
5,1,130,136,150,,
5,1,130,136,122,,
5,1,130,136,146,,
5,1,130,136,123,,
5,2,129,136,148,,
5,2,129,136,122,,
5,2,129,136,126,,
5,2,129,136,124,,
