category,trial,item1,item2,item3,choice,rt
1,1,20,26,18,,
1,1,20,26,19,,
1,1,20,26,12,,
1,1,20,26,5,,
1,2,3,26,18,,
1,2,3,26,7,,
1,2,3,26,11,,
1,2,3,26,27,,
2,1,41,35,31,,
2,1,41,35,42,,
2,1,41,35,43,,
2,1,41,35,39,,
2,2,46,35,34,,
2,2,46,35,60,,
2,2,46,35,56,,
2,2,46,35,44,,
3,1,82,64,62,,
3,1,82,64,81,,
3,1,82,64,61,,
3,1,82,64,67,,
3,2,80,63,62,,
3,2,80,63,90,,
3,2,80,63,69,,
3,2,80,63,65,,
4,1,106,112,115,,
4,1,106,112,93,,
4,1,106,112,96,,
4,1,106,112,118,,
4,2,113,119,115,,
4,2,113,119,117,,
4,2,113,119,101,,
4,2,113,119,103,,
5,1,139,147,150,,
5,1,139,147,122,,
5,1,139,147,126,,
5,1,139,147,144,,
5,2,142,145,150,,
5,2,142,145,127,,
5,2,142,145,137,,
5,2,142,145,135,,
