category,trial,item1,item2,item3,choice,rt
1,1,26,2,18,,
1,1,26,2,16,,
1,1,26,2,12,,
1,1,26,2,29,,
1,2,24,9,18,,
1,2,24,9,7,,
1,2,24,9,14,,
1,2,24,9,29,,
2,1,32,46,59,,
2,1,32,46,38,,
2,1,32,46,56,,
2,1,32,46,39,,
2,2,33,48,31,,
2,2,33,48,49,,
2,2,33,48,36,,
2,2,33,48,47,,
3,1,85,63,78,,
3,1,85,63,81,,
3,1,85,63,89,,
3,1,85,63,70,,
3,2,85,79,78,,
3,2,85,79,90,,
3,2,85,79,72,,
3,2,85,79,86,,
4,1,108,113,115,,
4,1,108,113,93,,
4,1,108,113,96,,
4,1,108,113,110,,
4,2,91,111,99,,
4,2,91,111,92,,
4,2,91,111,109,,
4,2,91,111,116,,
5,1,140,121,150,,
5,1,140,121,122,,
5,1,140,121,146,,
5,1,140,121,133,,
5,2,139,128,150,,
5,2,139,128,122,,
5,2,139,128,146,,
5,2,139,128,133,,
