category,trial,item1,item2,item3,choice,rt
1,1,1,9,18,,
1,1,1,9,16,,
1,1,1,9,6,,
1,1,1,9,4,,
1,2,1,15,18,,
1,2,1,15,30,,
1,2,1,15,14,,
1,2,1,15,5,,
2,1,50,46,34,,
2,1,50,46,42,,
2,1,50,46,53,,
2,1,50,46,39,,
2,2,52,33,31,,
2,2,52,33,55,,
2,2,52,33,56,,
2,2,52,33,44,,
3,1,77,85,62,,
3,1,77,85,90,,
3,1,77,85,72,,
3,1,77,85,67,,
3,2,74,76,78,,
3,2,74,76,81,,
3,2,74,76,83,,
3,2,74,76,71,,
4,1,94,105,102,,
4,1,94,105,93,,
4,1,94,105,101,,
4,1,94,105,100,,
4,2,106,112,99,,
4,2,106,112,93,,
4,2,106,112,101,,
4,2,106,112,118,,
5,1,136,130,150,,
5,1,136,130,122,,
5,1,136,130,146,,
5,1,136,130,132,,
5,2,142,145,150,,
5,2,142,145,127,,
5,2,142,145,143,,
5,2,142,145,144,,
