category,trial,item1,item2,item3,choice,rt
1,1,22,15,18,,
1,1,22,15,21,,
1,1,22,15,12,,
1,1,22,15,8,,
1,2,2,1,18,,
1,2,2,1,21,,
1,2,2,1,11,,
1,2,2,1,4,,
2,1,32,33,37,,
2,1,32,33,60,,
2,1,32,33,43,,
2,1,32,33,44,,
2,2,52,40,37,,
2,2,52,40,45,,
2,2,52,40,43,,
2,2,52,40,44,,
3,1,64,82,62,,
3,1,64,82,90,,
3,1,64,82,89,,
3,1,64,82,86,,
3,2,68,64,78,,
3,2,68,64,90,,
3,2,68,64,84,,
3,2,68,64,75,,
4,1,113,108,115,,
4,1,113,108,92,,
4,1,113,108,109,,
4,1,113,108,103,,
4,2,108,106,104,,
4,2,108,106,93,,
4,2,108,106,107,,
4,2,108,106,110,,
5,1,130,129,148,,
5,1,130,129,149,,
5,1,130,129,137,,
5,1,130,129,133,,
5,2,121,140,150,,
5,2,121,140,149,,
5,2,121,140,131,,
5,2,121,140,132,,
