category,trial,item1,item2,item3,choice,rt
1,1,20,26,18,,
1,1,20,26,21,,
1,1,20,26,11,,
1,1,20,26,4,,
1,2,15,2,18,,
1,2,15,2,16,,
1,2,15,2,10,,
1,2,15,2,28,,
2,1,48,35,31,,
2,1,48,35,45,,
2,1,48,35,53,,
2,1,48,35,47,,
2,2,40,52,34,,
2,2,40,52,42,,
2,2,40,52,51,,
2,2,40,52,39,,
3,1,77,63,62,,
3,1,77,63,81,,
3,1,77,63,89,,
3,1,77,63,73,,
3,2,82,63,62,,
3,2,82,63,81,,
3,2,82,63,89,,
3,2,82,63,73,,
4,1,112,105,102,,
4,1,112,105,98,,
4,1,112,105,107,,
4,1,112,105,103,,
4,2,114,106,97,,
4,2,114,106,98,,
4,2,114,106,107,,
4,2,114,106,103,,
5,1,129,147,150,,
5,1,129,147,122,,
5,1,129,147,137,,
5,1,129,147,123,,
5,2,129,130,150,,
5,2,129,130,149,,
5,2,129,130,146,,
5,2,129,130,144,,
