category,trial,item1,item2,item3,choice,rt
1,1,15,26,18,15.0,4.666341730839047
1,1,15,26,7,7.0,5.570521358136416
1,1,15,26,10,15.0,5.582685912096993
1,1,15,26,5,15.0,5.579737076776528
1,2,9,20,18,20.0,5.489594207613115
1,2,9,20,21,21.0,6.285744883962045
1,2,9,20,11,11.0,6.440974288474809
1,2,9,20,17,17.0,6.578997481794304
2,1,41,54,58,58.0,5.183453322191275
2,1,41,54,38,54.0,4.702971914194115
2,1,41,54,43,43.0,6.1508874175819646
2,1,41,54,47,41.0,6.200004066343382
2,2,32,35,37,37.0,6.603955265496676
2,2,32,35,57,32.0,7.2934295624752385
2,2,32,35,36,32.0,7.671559652596818
2,2,32,35,39,32.0,7.91218297170226
3,1,82,76,78,82.0,4.054301994574718
3,1,82,76,81,82.0,4.642923379630897
3,1,82,76,87,82.0,4.689320910925851
3,1,82,76,65,82.0,5.733488619961912
3,2,77,64,62,77.0,4.385636793505849
3,2,77,64,90,77.0,4.467427260209164
3,2,77,64,84,77.0,5.392085669588793
3,2,77,64,86,86.0,5.481781765550579
4,1,106,119,99,119.0,5.757565253033505
4,1,106,119,117,119.0,6.0308130317980755
4,1,106,119,107,119.0,6.165508200296013
4,1,106,119,100,119.0,6.955033254536078
4,2,91,94,99,94.0,7.7350035065836185
4,2,91,94,92,91.0,7.737039030985401
4,2,91,94,96,91.0,7.986801537518545
4,2,91,94,118,91.0,8.574197724022826
5,1,139,130,150,130.0,4.179702381711408
5,1,139,130,149,149.0,4.73852538710538
5,1,139,130,137,130.0,5.786027426868058
5,1,139,130,144,130.0,5.718490880399065
5,2,121,136,150,150.0,4.72440945201408
5,2,121,136,149,121.0,5.870316779137115
5,2,121,136,137,121.0,6.281443213770437
5,2,121,136,123,123.0,6.127723427964652
