category,trial,item1,item2,item3,choice,rt
1,1,2,9,18,18.0,4.521017626059141
1,1,2,9,30,2.0,5.560272675802709
1,1,2,9,11,2.0,5.7112465314958625
1,1,2,9,17,17.0,5.506376719399034
1,2,22,3,18,18.0,7.471352067734984
1,2,22,3,30,22.0,8.192527096093563
1,2,22,3,14,22.0,8.23111626418947
1,2,22,3,28,28.0,8.198593666052364
2,1,54,32,37,32.0,5.625454078532806
2,1,54,32,45,32.0,5.8570821989290565
2,1,54,32,43,32.0,6.552642752022461
2,1,54,32,44,32.0,6.659359407848177
2,2,35,40,37,40.0,4.904063589269012
2,2,35,40,42,42.0,4.936455495374319
2,2,35,40,36,40.0,5.555660087869203
2,2,35,40,44,40.0,5.753484214988417
3,1,80,74,78,80.0,5.973999378157139
3,1,80,74,90,80.0,6.732291384122268
3,1,80,74,61,61.0,6.90778427618864
3,1,80,74,73,80.0,7.561609885744557
3,2,85,80,62,80.0,7.229537399927979
3,2,85,80,90,80.0,7.936492422895517
3,2,85,80,87,80.0,7.129764030914579
3,2,85,80,73,80.0,8.433169583307397
4,1,105,111,102,105.0,5.158613770128781
4,1,105,111,98,111.0,5.665375836653421
4,1,105,111,120,120.0,5.8413873439199335
4,1,105,111,116,105.0,5.978198647968649
4,2,91,113,102,91.0,4.898450734803838
4,2,91,113,98,98.0,5.4006377232823795
4,2,91,113,95,91.0,5.93732782127278
4,2,91,113,100,100.0,6.131688522384003
5,1,145,129,150,150.0,4.82559249811934
5,1,145,129,149,145.0,5.401262034758359
5,1,145,129,126,126.0,6.28751471068758
5,1,145,129,135,145.0,5.898055748613159
5,2,147,128,148,128.0,5.485063172765086
5,2,147,128,127,147.0,5.024431995653929
5,2,147,128,134,128.0,5.969382478921455
5,2,147,128,144,147.0,6.123736181762318
