category,trial,item1,item2,item3,choice,rt
1,1,9,23,18,23.0,6.867108403577458
1,1,9,23,21,23.0,7.519623021549489
1,1,9,23,12,23.0,8.11926604185392
1,1,9,23,8,23.0,8.363019679460706
1,2,24,9,18,24.0,6.538869289630583
1,2,24,9,16,24.0,7.2643118294695155
1,2,24,9,10,24.0,7.879820282612027
1,2,24,9,29,29.0,7.391592317496661
2,1,50,40,58,40.0,6.883008559427151
2,1,50,40,45,45.0,6.892189801370537
2,1,50,40,36,40.0,7.153947247171333
2,1,50,40,47,47.0,7.921044754573259
2,2,35,46,59,59.0,5.571700164024612
2,2,35,46,49,49.0,6.647433624551429
2,2,35,46,56,35.0,6.560336771796849
2,2,35,46,44,44.0,6.6058013814538485
3,1,76,74,78,76.0,5.543908929284842
3,1,76,74,90,76.0,5.83894493004826
3,1,76,74,83,83.0,6.729305406408063
3,1,76,74,71,74.0,6.858936746284598
3,2,82,64,62,82.0,5.5918214467985905
3,2,82,64,81,82.0,5.672880797426499
3,2,82,64,72,82.0,6.091165945608717
3,2,82,64,67,82.0,6.448414718094274
4,1,113,108,104,113.0,6.9481978741680095
4,1,113,108,98,113.0,6.9543722499047265
4,1,113,108,96,113.0,7.927718889023546
4,1,113,108,103,103.0,7.867030200726102
4,2,112,91,99,91.0,4.87352439632121
4,2,112,91,92,112.0,4.750528682803568
4,2,112,91,120,91.0,5.622615222418954
4,2,112,91,118,118.0,6.401379507039126
5,1,145,142,150,142.0,4.817852831262013
5,1,145,142,141,142.0,5.971611644250236
5,1,145,142,125,142.0,6.180363626176707
5,1,145,142,144,142.0,6.4684757343607
5,2,145,140,150,140.0,5.7561623518278555
5,2,145,140,149,145.0,6.582130274875521
5,2,145,140,125,145.0,7.432573260119743
5,2,145,140,135,140.0,7.296102211177935
