category,trial,item1,item2,item3,choice,rt
1,1,20,24,18,20.0,6.615092175556581
1,1,20,24,16,16.0,5.925895969518442
1,1,20,24,6,20.0,6.829695553225722
1,1,20,24,4,24.0,6.934108304519113
1,2,22,15,18,15.0,4.575301002012088
1,2,22,15,16,16.0,4.9496780027322504
1,2,22,15,6,15.0,5.618585381604441
1,2,22,15,27,15.0,6.212846322846467
2,1,40,46,34,34.0,5.223694427905417
2,1,40,46,42,40.0,4.608409069702643
2,1,40,46,53,40.0,5.7411739051973525
2,1,40,46,44,44.0,5.706202954226875
2,2,40,33,59,33.0,5.195917992508102
2,2,40,33,38,38.0,4.979746534953602
2,2,40,33,43,33.0,5.641085072621079
2,2,40,33,44,33.0,5.597753098186157
3,1,64,82,78,78.0,5.323361531871338
3,1,64,82,81,82.0,5.873124984853199
3,1,64,82,69,82.0,5.885243011245418
3,1,64,82,70,82.0,7.159206867669359
3,2,77,80,78,77.0,4.555677920181657
3,2,77,80,90,77.0,5.352388946831585
3,2,77,80,87,77.0,5.400935649013901
3,2,77,80,67,77.0,5.589940309063054
4,1,119,108,97,119.0,4.423927507874222
4,1,119,108,92,119.0,4.558869347507393
4,1,119,108,101,119.0,5.127503078245649
4,1,119,108,110,119.0,4.871155397179313
4,2,113,114,97,114.0,6.7330146237172315
4,2,113,114,93,114.0,6.999362954394805
4,2,113,114,120,114.0,7.30454216746776
4,2,113,114,100,114.0,7.990491250951717
5,1,136,130,150,130.0,4.178147372297666
5,1,136,130,149,130.0,5.248060486564885
5,1,136,130,126,130.0,6.164490683293542
5,1,136,130,124,130.0,5.9290095972988155
5,2,142,129,150,142.0,5.639588697826413
5,2,142,129,141,141.0,6.049052822406955
5,2,142,129,143,142.0,7.156662047619318
5,2,142,129,132,142.0,7.4407316821734115
