category,trial,item1,item2,item3,choice,rt
1,1,20,26,18,26.0,7.364920403166734
1,1,20,26,21,26.0,7.354598941014743
1,1,20,26,11,11.0,7.782800639669975
1,1,20,26,4,26.0,7.8645609325882075
1,2,15,2,18,15.0,5.190782710569415
1,2,15,2,16,15.0,4.800329320578399
1,2,15,2,10,15.0,6.150357749012114
1,2,15,2,28,15.0,6.062925665295666
2,1,48,35,31,35.0,4.4880812833878085
2,1,48,35,45,45.0,4.504109712553971
2,1,48,35,53,48.0,5.473882210673739
2,1,48,35,47,48.0,6.107091432764906
2,2,40,52,34,52.0,4.875307024161345
2,2,40,52,42,40.0,5.032524757215208
2,2,40,52,51,51.0,5.356961168916124
2,2,40,52,39,40.0,5.758863927412884
3,1,77,63,62,77.0,6.301285858815412
3,1,77,63,81,81.0,6.695324966748773
3,1,77,63,89,77.0,7.16565406430154
3,1,77,63,73,77.0,6.945681887992118
3,2,82,63,62,82.0,6.97260738077336
3,2,82,63,81,81.0,6.362160092051213
3,2,82,63,89,89.0,7.442518267109398
3,2,82,63,73,82.0,7.387695883939435
4,1,112,105,102,102.0,4.9225546969994705
4,1,112,105,98,105.0,5.059383110157167
4,1,112,105,107,105.0,6.182097830685089
4,1,112,105,103,105.0,6.075350278710104
4,2,114,106,97,114.0,5.736945344293917
4,2,114,106,98,114.0,5.37621960532941
4,2,114,106,107,114.0,6.604216921066103
4,2,114,106,103,114.0,6.460688521039499
5,1,129,147,150,129.0,6.300835235755978
5,1,129,147,122,122.0,7.023154713413048
5,1,129,147,137,147.0,7.803749450358353
5,1,129,147,123,129.0,7.668057871953185
5,2,129,130,150,129.0,4.0847232766949455
5,2,129,130,149,149.0,4.742835506471266
5,2,129,130,146,129.0,5.502548532001933
5,2,129,130,144,129.0,5.579217750800876
