category,trial,item1,item2,item3,choice,rt
1,1,15,2,18,15.0,5.798217912702494
1,1,15,2,21,15.0,5.773225194738143
1,1,15,2,10,15.0,7.046283018966228
1,1,15,2,28,15.0,7.0096227773736155
1,2,2,23,18,2.0,7.169427455141634
1,2,2,23,30,2.0,7.363916902148536
1,2,2,23,12,2.0,7.532977429438299
1,2,2,23,27,2.0,7.938626871535915
2,1,40,50,58,40.0,4.895505117923099
2,1,40,50,38,40.0,4.424911177034279
2,1,40,50,56,40.0,5.849582897905226
2,1,40,50,44,50.0,5.755481803485191
2,2,41,40,31,40.0,7.726124879972053
2,2,41,40,38,40.0,7.557756312108024
2,2,41,40,43,40.0,8.144654563274562
2,2,41,40,47,40.0,8.523782515081534
3,1,85,76,62,76.0,6.45529985507316
3,1,85,76,90,90.0,6.438508066496217
3,1,85,76,72,76.0,7.445248806876462
3,1,85,76,65,65.0,7.676647025071858
3,2,79,68,78,68.0,6.0016311120155255
3,2,79,68,81,68.0,7.184306947430586
3,2,79,68,72,72.0,7.522501959436035
3,2,79,68,71,68.0,7.554789159465794
4,1,108,112,102,108.0,7.527168348948672
4,1,108,112,92,112.0,6.753073383552534
4,1,108,112,95,112.0,7.971310125972062
4,1,108,112,100,108.0,8.563703226224138
4,2,112,91,104,91.0,5.867480748682348
4,2,112,91,92,91.0,6.117419584959853
4,2,112,91,109,91.0,7.2963965448226995
4,2,112,91,110,110.0,7.018519716297377
5,1,129,142,150,142.0,5.722216327420412
5,1,129,142,122,142.0,6.853355485773962
5,1,129,142,138,142.0,7.144201174788105
5,1,129,142,123,142.0,7.139839754783795
5,2,130,140,148,140.0,6.72441914792973
5,2,130,140,141,140.0,6.8517872180576935
5,2,130,140,134,140.0,7.645830601386043
5,2,130,140,124,124.0,7.768678506271419
